Id,Nombre,Apellido,Cuit
1,Pedro,Uberhart,20321215657
2,Clementius,Thoresby,20268103116
3,Drusie,Lamport,20248697533
4,Mia,Bowstead,20979456214
5,Bria,Cobbald,20294155227
6,Maud,Ship,20782510534
7,Rennie,Hebble,20470500740
8,Haslett,Baton,20299029896
9,Ranique,Casaccio,20722770717
10,Karlene,Jura,20470639737
11,Nicolas,Vega,11111111111
12,Nico,Pedro,12345678910
13,Juan,Leiton,01987654321
14,Lucas,Prox,12343211231
15,Luciana,Delorean,22222222222
16,Juana,Skyler,33333333333
17,Pedro,Gangemi,12345678121
18,Juan,Roberto,99999999999
19,Juan,Gurnio,88888888888
20,Catalina,Fern,41254125412
21,Pedro,Ignacio,54545454544
22,Nicolas,Lopez,43211234212
